gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	T_NK
RP11-34P13.3	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.7	0.0054704593	0.031039834	0.003494263	0.02008032	0.0	0.005946187	0.0037425149
RP11-34P13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.9	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
FO538757.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FO538757.2	0.14442965	0.46527487	0.43048847	0.38217598	0.5268831	0.2895252	0.20622109
AP006222.2	0.08114013	0.33402905	0.12220559	0.48510894	0.06964869	0.16838153	0.09820969
RP5-857K21.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.2	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.10	0.012546173	0.050219927	0.018681703	0.03169532	0.018518519	0.015836967	0.008805918
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.4	0.0011516757	0.0	0.0028417164	0.0	0.0	0.005946187	0.0011007397
RP5-857K21.2	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.4	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.9	0.101045005	0.107380845	0.08677154	0.13383225	0.0515831	0.123590015	0.06076371
FAM87B	0.00057583785	0.0051733055	0.0	0.012048192	0.0	0.010405827	0.00022014794
LINC00115	0.07936057	0.0639864	0.10230354	0.12624162	0.07944938	0.12363993	0.076527596
FAM41C	0.06270801	0.06334305	0.08041827	0.108045705	0.06391603	0.13018039	0.08442994
RP11-54O7.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-54O7.1	0.015534381	0.068372115	0.025801886	0.016064256	0.018518519	0.031979207	0.023006994
RP11-54O7.2	0.00057583785	0.0051733055	0.0014208582	0.0	0.0	0.0	0.0011007397
RP11-54O7.3	0.0011516757	0.0051733055	0.0	0.08835341	0.0	0.013378921	0.00088059175
SAMD11	0.02055447	0.027948363	0.013410511	0.5973667	0.018518519	0.014826841	0.00088059175
NOC2L	0.22106758	0.34776822	0.33153042	0.3645785	0.15209225	0.2429394	0.1879404
KLHL17	0.01800607	0.03050175	0.026318127	0.032128513	0.018518519	0.008919281	0.012548433
PLEKHN1	0.06731443	0.031039834	0.036296114	0.048971746	0.06481481	0.04566268	0.03868817
PERM1	0.0014395947	0.0	0.0	0.008032128	0.0	0.0044596405	0.00044029587
RP11-54O7.17	0.002830637	0.045524705	0.06288609	0.08993192	0.046296295	0.07399082	0.006344752
HES4	0.07436856	0.57750964	0.14485517	0.8231305	0.44407472	0.38618618	0.14530912
ISG15	0.32288542	0.97355705	0.78384864	0.59732515	0.22685	0.59087455	0.45943657
RP11-54O7.11	0.00028791893	0.0	0.0	0.0	0.0	0.0	0.0028619233
AGRN	0.017269038	0.7649863	0.1953278	0.44827276	0.009259259	0.099419855	0.019391071
RP11-54O7.18	0.00057583785	0.0	0.0014208582	0.004016064	0.0	0.0044596405	0.0011007397
RNF223	0.0025609254	0.0051733055	0.14150625	0.004016064	0.0	0.0	0.0006604438
C1ORF159	0.029323934	0.10502055	0.14007442	0.073913395	0.037037037	0.06543028	0.033962328
LINC01342	0.00028791893	0.0	0.005683433	0.0	0.0	0.0	0.00022014794
RP11-465B22.8	0.0036487486	0.0	0.27999374	0.0	0.0	0.0038579006	0.0011007397
TTLL10-AS1	0.00086375675	0.015519917	0.0028417164	0.0	0.0	0.0029730934	0.00044029587
TTLL10	0.013362974	0.1158162	0.028792532	0.019637838	0.06481481	0.030596724	0.02065766
TNFRSF18	0.27136928	0.061617956	0.032778557	0.037987217	0.36753595	0.32851166	0.30537987
TNFRSF4	0.21069705	0.7601714	0.037197176	0.07818115	0.3411484	0.24468184	0.3484461
SDF4	0.29154348	0.793924	0.676577	0.65851957	0.18304083	0.34776068	0.2493533
B3GALT6	0.033394407	0.22492489	0.08191921	0.17045148	0.01639435	0.12931365	0.043291893
FAM132A	0.006895302	0.43537363	1.1269395	0.023480404	0.018518519	0.013366862	0.0060857562
RP5-902P8.12	0.0020154323	0.0	0.007104291	0.0	0.0	0.0029730934	0.003522367
UBE2J2	0.17664778	0.48529953	0.34614608	0.326946	0.13140357	0.21095264	0.20346546
RP5-902P8.10	0.0051825405	0.0051733055	0.0034241234	0.0	0.018518519	0.0014865467	0.004402959
SCNN1D	0.008047251	0.0051733055	0.07776016	0.04016064	0.0	0.0070676934	0.0046231067
ACAP3	0.12549882	0.19066578	0.18003584	0.35823202	0.0723832	0.11972772	0.089346536
PUSL1	0.110558845	0.16548835	0.24019864	0.192334	0.08918686	0.1415781	0.09189757
CPSF3L	0.17109787	0.35513043	0.41807148	0.37585312	0.07074461	0.24517798	0.20561907
CPTP	0.1368516	0.4091778	0.4844696	0.112861946	0.009259259	0.07455198	0.06318045
TAS1R3	0.11279225	0.01359973	0.01514111	0.0077276607	0.0	0.0044596405	0.003302219
DVL1	0.05172383	0.2435194	0.277015	0.1722777	0.0	0.055058643	0.026082728
MXRA8	0.015580504	0.10645262	0.011856064	2.6297529	0.009259259	0.0034880629	0.0043280385
AURKAIP1	0.45042968	0.66559464	1.2060487	0.54865694	0.2301899	0.4891577	0.33715042
CCNL2	0.18169588	0.5561468	0.33100638	0.5088665	0.11740904	0.20045023	0.17778797
MRPL20	0.39763886	0.7061069	0.67651904	0.6474328	0.27062818	0.5286491	0.42070624
RP4-758J18.13	0.01233465	0.010346611	0.021532303	0.032128513	0.0	0.014381488	0.006824586
ANKRD65	0.0052859425	1.1493638	0.01057803	0.24392365	0.0	0.04545717	0.0015162796
RP4-758J18.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM88B	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-758J18.10	0.00028791893	0.07242628	0.009946007	0.012048192	0.0	0.0014865467	0.0
VWA1	0.009290446	2.6070876	0.07549705	0.3759943	0.0	0.017239586	0.0056902408
ATAD3C	0.1484329	0.18259747	0.037411142	0.041063175	0.06481481	0.05126663	0.044981122
ATAD3B	0.06702126	0.18392278	0.20919612	0.19814402	0.074074075	0.12426049	0.082558855
ATAD3A	0.084853865	0.21777537	0.3639275	0.19271223	0.07767307	0.13356744	0.077207826
TMEM240	0.00086375675	0.0051733055	0.0042625745	0.04819277	0.0	0.0014865467	0.0
SSU72	0.36619654	0.6447369	0.5963896	0.5044151	0.28018433	0.4670065	0.47455847
RP5-832C2.5	0.0503704	0.04677781	0.08731513	0.037594818	0.06375408	0.07462206	0.08083474
AL645728.1	0.0011516757	0.010346611	0.0014208582	0.0	0.0	0.0029730934	0.0013208876
C1ORF233	0.0016202327	0.0051733055	0.14535965	0.058212157	0.018518519	0.056488775	0.0028619233
RP11-345P4.9	0.061434556	0.119918115	0.13815261	0.16810834	0.044762634	0.08641414	0.059501957
MIB2	0.1467702	0.14295776	0.27102447	0.21250738	0.053567525	0.11278728	0.2248331
MMP23B	0.029040089	0.021752875	0.042622965	1.3631843	0.009259259	0.012162232	0.038325753
