gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	Stromal_other	T_NK
7SK	0.088445686	0.10500777	0.016141037	0.0037445438	0.032258064	0.05307976	0.010678057	0.011260926
A1BG	0.025077	0.019253183	0.0055101034	0.039550304	0.018975332	0.018027797	0.037205704	0.029752688
A1BG-AS1	0.091891006	0.05812321	0.0016307584	0.2272798	0.036053132	0.09325338	0.2169461	0.08194671
A1CF	0.0037865501	0.0054550758	0.5975592	0.0021535228	0.007876878	0.002675359	0.0	0.0038045119
A2M	0.06447424	2.7453017	0.012916385	2.7270129	0.040445182	0.55155444	0.9568107	0.032956693
A2M-AS1	0.0060121636	0.022619275	0.002282821	0.049428802	0.22746591	0.030212307	0.066999964	0.10764113
A2ML1	0.0012238174	0.0	0.00060041307	0.0017083066	0.0	0.0009853188	0.0053390283	0.001211648
A4GALT	0.041377682	1.3679137	0.0023566436	0.9824195	0.0056926	0.03677407	0.27020225	0.007175408
AAAS	0.18240058	0.24854364	0.28051513	0.36636516	0.10734707	0.12872304	0.30491093	0.14003779
AACS	0.09758966	0.13018261	0.348242	0.14053564	0.050158728	0.06230333	0.06945024	0.07288269
AADAC	0.0	0.0	0.016205786	0.0	0.0	0.0	0.0	0.0
AADAT	0.00859865	0.011432456	0.13024944	0.10204307	0.0	0.0074888347	0.04462854	0.0053851022
AAED1	0.23067664	0.69487435	0.06190197	0.41886294	0.32805765	0.43868986	0.49064302	0.22110216
AAGAB	0.10213985	0.313382	0.2779109	0.26701942	0.06564468	0.1510255	0.113195725	0.17589854
AAK1	0.06791368	0.1656411	0.081558734	0.10422776	0.08399096	0.191317	0.10718988	0.6855639
AAMDC	0.08691	1.0349052	0.6255386	0.6324425	0.24818867	0.20575044	0.9060433	0.11575368
AAMP	0.26541772	0.50314105	0.7259601	0.64161795	0.15117742	0.29357108	0.47751006	0.22322077
AANAT	0.015132725	0.0	0.0007204957	0.0	0.0018975332	0.0	0.0	0.00094239286
AAR2	0.085290134	0.3351552	0.18492764	0.33535433	0.062342297	0.13069552	0.21337958	0.13108571
AARD	0.010397841	0.017711988	0.005648728	0.24796355	0.09487666	0.01340523	0.021356113	0.006789175
AARS	0.29092404	0.38525283	0.25902942	0.30384752	0.12994935	0.14121196	0.3739257	0.09050396
AARS2	0.038498357	0.105551116	0.12310941	0.09941758	0.018390024	0.05600933	0.037373196	0.038855866
AARSD1	0.14744864	0.13696466	0.1563447	0.14483733	0.045501795	0.076286614	0.12094869	0.30965576
AASDH	0.111192025	0.29034448	0.18846285	0.29760337	0.1495369	0.14563355	0.27957627	0.15557411
AASDHPPT	0.20622282	0.35461769	0.18066189	0.33243144	0.19705841	0.21201089	0.37205777	0.22479883
AASS	0.010904734	0.23908652	0.030881688	0.29794148	0.037950665	0.010439403	0.19586882	0.015347541
AATF	0.22167598	0.3842605	0.2860194	0.31940255	0.22158824	0.2546255	0.2549275	0.32109398
AATK	0.004124838	0.037362494	0.119285	0.0033084687	0.0151802655	0.07397239	0.3020652	0.013595314
ABAT	0.036340125	0.055165976	0.14893308	0.05835314	0.03386919	0.12361409	0.0487375	0.07773666
ABCA1	0.034975328	0.1463989	0.06379015	0.5120873	0.54754454	0.7432204	0.573589	0.08803356
