trait	accession	exposure	outcome	method	nsnp	theta	se	p	OR	q	q_p	status
Neutrophil count	GCST90002398	neutrophil_count	IBD	IVW	439	0.20887664275968038	0.028959785735527637	5.487549878184451e-13	1.232292976893068	1901.7671767747636	5.074360619876716e-181	ok
Neutrophil count	GCST90002398	neutrophil_count	IBD	weighted_median	439	0.11930178629570437			1.1267098925907983			ok
Neutrophil count	GCST90002398	neutrophil_count	CD	IVW	436	0.33011678980674813	0.03743439461519953	1.1595947016593015e-18	1.3911305888493701	1920.6312331926642	3.756376535533021e-185	ok
Neutrophil count	GCST90002398	neutrophil_count	CD	weighted_median	436	0.12883969121420671			1.1375077570612326			ok
Neutrophil count	GCST90002398	neutrophil_count	UC	IVW	437	0.09717056527519055	0.037010783434077016	0.008653036979981847	1.1020483287677139	1189.498793531373	3.91948074538649e-71	ok
Neutrophil count	GCST90002398	neutrophil_count	UC	weighted_median	437	0.048102857653336446			1.0492785761061707			ok
Neutrophil percentage of white cells	GCST90002399	neutrophil_percent	IBD	IVW	377	0.10238150016673592	0.033880091667018594	0.0025121185808240744	1.1078060193028985	2212.009948118868	5.9503640138989256e-257	ok
Neutrophil percentage of white cells	GCST90002399	neutrophil_percent	IBD	weighted_median	377	0.02479289081565069			1.0251027903346412			ok
Neutrophil percentage of white cells	GCST90002399	neutrophil_percent	CD	IVW	375	0.2205942018457151	0.043733297310620214	4.5571126150921955e-07	1.246817371703966	1988.0408391898156	1.0546744949557156e-217	ok
Neutrophil percentage of white cells	GCST90002399	neutrophil_percent	CD	weighted_median	375	0.12818524508702353			1.1367635630589858			ok
Neutrophil percentage of white cells	GCST90002399	neutrophil_percent	UC	IVW	375	-0.0007132640260771779	0.043316148806725026	0.9868622522377027	0.9992869902862407	1650.7901890403496	1.822200840448127e-159	ok
Neutrophil percentage of white cells	GCST90002399	neutrophil_percent	UC	weighted_median	375	-0.07508183920473316			0.9276675636462037			ok
