feature_class	feature	cohort	n	n_NR	n_R	auc_NR_high	median_NR	median_R	delta_median_NR_minus_R	logit_beta_per_sd	logit_se	logit_OR_per_sd	logit_p	mannwhitney_p	status	meta_tau2	meta_Q	meta_I2	logit_fdr
bulk_marker_score	cxcr2_expr_z	GSE12251	23	11	12	0.9318181818181819	0.5424706696614335	-0.5023560459930488	1.0448267156544824	6.017678309696873	2.7930172720771393	410.6241460889532	0.0311975435702659	0.0005064253596787044	ok				0.05730161063926391
bulk_marker_score	cxcr2_expr_z	GSE16879	61	33	28	0.8252164502164502	0.3894791030250862	-0.5571300601157543	0.9466091631408404	1.6046820758335256	0.44651564407026734	4.97627727241851	0.0003259064096495824	1.4114363890199966e-05	ok				0.0018332235542789011
bulk_marker_score	cxcr2_expr_z	GSE23597	32	7	25	0.8628571428571428	0.4379457469644766	-0.24944510836948702	0.6873908553339636	1.819464093668808	0.7674039059435342	6.168551797972025	0.017743194064537934	0.002465940313548767	ok				0.048190210026787084
bulk_marker_score	cxcr2_expr_z	GSE73661	64	39	25	0.6635897435897437	0.0552258642274571	-0.4669433895131374	0.5221692537405945	0.6565303860418229	0.3013250166321278	1.9280909841842366	0.02934568056902719	0.02867641276251968	ok				0.05679000197618775
bulk_marker_score	cxcr2_expr_z	GSE92415	59	27	32	0.6898148148148148	0.21644923199258687	-0.5292385319437576	0.7456877639363444	0.5807005787789375	0.28771014312356513	1.7872901297787167	0.04355452929013526	0.012861795238919253	ok				0.06999835064486024
bulk_marker_score	cxcr2_expr_z	random_effects	239	117	122					1.074341734290626	0.3274102656984399	2.9280648213424016	0.001033181061369922		ok_random_effects	0.25644803554505136	9.147391541383277	0.5627168704975849	0.004427918834442522
bulk_marker_score	neutrophil_marker_score	GSE12251	23	11	12	0.9090909090909091	0.4335886567213246	-0.2591226523929249	0.6927113091142495	3.4460037166904214	1.4676404835538175	31.37475901703257	0.01887507854078489	0.0009923121699459702	ok				0.048190210026787084
bulk_marker_score	neutrophil_marker_score	GSE16879	61	33	28	0.8538961038961039	0.32525892398540374	-0.3343117043424457	0.6595706283278495	1.6711786586512185	0.449919316373137	5.318432721090133	0.00020368934845725682	2.2962100705416683e-06	ok				0.001309431525796651
bulk_marker_score	neutrophil_marker_score	GSE23597	32	7	25	0.7942857142857143	0.3051423937077606	-0.1322131203525689	0.43735551406032946	1.8830955609801894	0.8692667232997231	6.573823068023683	0.030288001053966798	0.017509364631166632	ok				0.05679000197618775
bulk_marker_score	neutrophil_marker_score	GSE73661	64	39	25	0.7128205128205128	0.06081638036887102	-0.22187842487765483	0.28269480524652585	0.7094918226233374	0.3031824190593737	2.032957892893564	0.019276084010714834	0.0043938749380143275	ok				0.048190210026787084
bulk_marker_score	neutrophil_marker_score	GSE92415	59	27	32	0.673611111111111	0.2711417603016359	-0.16818669060874417	0.4393284509103801	0.6836441067519549	0.30638009834934693	1.981083875404996	0.025657333152006738	0.02293173355533786	ok				0.05679000197618775
bulk_marker_score	neutrophil_marker_score	random_effects	239	117	122					1.1493130363041235	0.3082341883490237	3.1560240908514308	0.00019246958017538502		ok_random_effects	0.20865487776306677	7.990068121025104	0.49937848596379536	0.001309431525796651
