gene	MR_OR	MR_p	MR_fdr	coloc_PP4	drug_target	GSE16879_FC	GSE16879_p	GSE73661_FC	GSE73661_p	convergent
CXCR2	0.753	1.616843010154017e-09	1.2449691178185932e-07	0.951	CXCR2 antagonist (navarixin) — inflammation trials	3.3	1.678295689089282e-07	1.85	2.9137950718904904e-07	True
EDN1	0.699	0.0006354824699043	0.0165188228280782	0.407		-1.04	6.718873919453472e-06	-1.06	3.093163286393974e-06	False
CTNNB1	0.855	0.0008175777880803	0.0165188228280782	0.502		-0.28	0.08834069967269897	0.12	0.01714942418038845	True
PTBP1	2.125	0.0008581206663936	0.0165188228280782	0.0		0.11	0.17798003554344177	0.08	0.15744934976100922	False
MMP9	0.788	0.0013317917214271	0.0205095925099787	0.103	andecaliximab (anti-MMP9) — tested in UC/CD	2.23	3.864720565616153e-05	2.17	9.744129556565895e-07	False
CCL8	2.349	0.0023336386142975	0.0299483622168182	0.955		1.39	0.0020121922716498375	0.03	0.9075723886489868	True
TNFRSF1A	1.163	0.003624814385206	0.039872958237267	0.18	anti-TNF (infliximab/adalimumab) — APPROVED in IBD	-0.21	0.8407503366470337	0.23	0.0047937664203345776	False
HGF	1.826	0.0047737410091192	0.0437211189873223	0.222	HGF/MET pathway	2.79	3.716761227678944e-07	1.63	3.889186075411999e-07	False
IL1B	0.585	0.0051102606608558	0.0437211189873223	0.071	anti-IL-1 (canakinumab/anakinra) — trials	3.69	5.787207157936791e-08	3.72	5.653235390923328e-08	False
PLAUR	1.412	0.0133727842913176	0.0935004840224112	0.124		2.08	2.0056424546055496e-05	0.94	2.3635679099243134e-05	False
RPS6KA5	0.877	0.0142330414903398	0.0935004840224112	0.159		-0.24	0.2031669020652771	-0.41	0.0009253306197933853	False
ICAM1	1.207	0.0145715040034926	0.0935004840224112	0.0	alicaforsen (ICAM-1 antisense) — tested in UC/pouchitis	2.27	1.5856879826969816e-06	2.08	1.11746679465341e-07	False
CXCL10	0.851	0.0167568423771355	0.0992520663876488	0.047		2.72	3.864720565616153e-05	2.6	3.619315691594238e-07	False
ESM1	0.853	0.0263867144151882	0.1413440916427286	0.054		0.37	0.08159241825342178	0.04	0.22673283517360687	False
FGF2	1.251	0.0293635206085937	0.1413440916427286	0.0		2.19	0.0001429685507901013	1.09	9.089282571039803e-07	False
ACVR1B	1.198	0.0295200906044938	0.1413440916427286	0.014		-0.74	5.837996468471829e-06	-0.6	1.2042687558277976e-07	False
CCL2	1.615	0.0320274549326789	0.1413440916427286	0.021	CCL2/CCR2 axis inhibitors	3.4	1.0908159993050504e-06	1.93	3.531323500283179e-06	False
IL6	0.708	0.03304147596843	0.1413440916427286	0.058		2.64	7.726080184511375e-06	1.89	1.3590273738373071e-05	False
ITPKA	0.764	0.0527918458033155	0.2139459014134368	0.044		-1.57	5.669781967299059e-05	-0.75	8.269762474810705e-08	False
ANG	1.047	0.0623217043374037	0.2212023257984345	0.025		0.17	0.44336384534835815			False
NRG1	1.033	0.0646023428342564	0.2212023257984345	0.027		0.69	0.00674841832369566	1.55	1.2768367014359683e-05	False
IL18	0.918	0.0667530151696344	0.2212023257984345			0.68	0.006310202181339264	0.32	0.028360530734062195	False
ICAM3	1.072	0.0676425112141897	0.2212023257984345	0.0		0.11	0.7945014834403992	0.86	1.741095729812514e-05	False
GDF15	0.881	0.0733174215855192	0.2212023257984345	0.001		0.43	0.068257637321949	0.9	0.00010192044283030555	False
TNF	0.926	0.073872607288623	0.2212023257984345			0.65	0.03392450511455536	0.68	4.8333939048461616e-05	False
PGF	0.851	0.0746916944254454	0.2212023257984345	0.004		0.49	0.016899842768907547	0.32	0.0001504284009570256	False
IL10	1.143	0.0832689077017781	0.2374705886309968			1.16	0.0036135229747742414	0.31	0.0054426188580691814	False
CXCL16	1.05	0.0935101518294342	0.2453238083337819			0.42	0.018317854031920433	0.72	1.93451910490694e-06	False
TIMP2	0.949	0.094663167643496	0.2453238083337819	0.018		0.83	0.0017298298189416528	0.86	5.232006515143439e-06	False
IGFBP2	1.071	0.0955807045456293	0.2453238083337819			0.65	0.12343746423721313	0.31	0.21640807390213013	False
SERPINE1	1.324	0.1043323155273475	0.2591480095356698			2.86	6.263634531933349e-06	2.13	4.488350953124609e-07	False
LCP1	1.109	0.1176964081978632	0.2832069822261083	0.013		0.89	0.003057115711271763	1.35	0.00014236658171284944	False
ETS2	1.077	0.1229192010044588	0.286811469010404	0.0		0.54	0.0012068063952028751	0.62	5.176096351533488e-07	False
WNT16	0.761	0.1662624130929492	0.3765354649457967			0.07	0.7716275453567505	-0.03	0.5342821478843689	False
IL15	1.098	0.1965862973549557	0.4243903967775209	0.012	anti-IL-15	0.05	0.6823055148124695	0.23	0.0033912919461727142	False
VEGFA	1.073	0.2023767976332038	0.4243903967775209		anti-VEGF (bevacizumab)	0.03	1.0	0.27	0.02214476279914379	False
CXCL1	0.915	0.2039278529969905	0.4243903967775209	0.013		4.97	6.290927956342784e-08	3.63	4.489875493618456e-08	False
IGFBP4	1.07	0.2097201729368936	0.4249592977931791	0.0		0.26	0.344590961933136	0.12	0.821689248085022	False
GMFG	1.087	0.2160993992769916	0.4266577883161117	0.016		1.37	0.0010307558113709092	1.29	1.1264617569395341e-05	False
IL7	1.28	0.2301393404434164	0.440281439834392			0.06	0.9703176021575928	0.17	0.062258824706077576	False
TNFRSF10C	0.944	0.2368065571053517	0.440281439834392			1.59	0.0009779223473742604			False
JUN	1.067	0.240153512636941	0.440281439834392	0.008		-0.18	0.17323431372642517	0.1	0.6769722700119019	False
TUBGCP2	1.046	0.2545765963444472	0.4525022847891769			0.08	0.3332996964454651	-0.14	0.017796294763684273	False
FAS	1.038	0.2585727341652439	0.4525022847891769			0.27	0.05485173314809799	-0.13	0.3637087643146515	False
PLAT	1.212	0.2699513480665392	0.4599993496518287	0.004		0.42	0.030340248718857765	0.54	0.016523273661732674	False
PTGER2	1.055	0.2803446421333011	0.4599993496518287			0.28	0.07054363191127777	0.1	0.4085959196090698	False
IL32	0.97	0.2807788238134538	0.4599993496518287	0.0		-1.46	0.0001056315959431231	-0.25	0.04688045755028725	False
PIGF	1.099	0.3135444838632818	0.5029776095306813			0.09	0.40037867426872253	-0.21	0.08902931958436966	False
MMP14	1.189	0.3205914293082464	0.5037865317701016			0.57	0.003286501159891486	1.2	4.489875493618456e-08	False
CTSB	1.037	0.338495154510859	0.5212825379467229	0.008		0.56	1.6405836504418403e-05	0.61	2.7074220270151272e-06	False
BMP2	0.943	0.3819626771480718	0.5713832592618441			-0.07	0.9584538340568542	0.04	0.758594810962677	False
CSF2RB	0.918	0.3858692140469596	0.5713832592618441	0.002	anti-GM-CSF axis	2.63	1.6405836504418403e-05	1.44	4.820407752959e-07	False
IGFBP3	1.039	0.4219572198788552	0.6029659882612266			0.89	0.004576846491545439	0.42	0.0007600905955769122	False
HMGB1	1.168	0.4228592644948862	0.6029659882612266			0.37	0.008997760713100433			False
ANGPT1	1.026	0.4556482381357021	0.637907533389983			0.35	0.022769220173358917	0.19	0.18747365474700928	False
BMP6	0.934	0.5084261464325043	0.6887013085125713			0.73	0.04609406366944313	0.52	0.00017726935038808733	False
ITGA2	1.028	0.515179699335958	0.6887013085125713			1.54	1.1197071358992616e-07	1.49	2.1767246494164283e-07	False
TNFRSF1B	1.054	0.5314131095568799	0.6887013085125713		anti-TNF axis	0.56	0.03926033154129982	0.82	2.1767246494164283e-07	False
AXL	1.062	0.5319710580974011	0.6887013085125713			0.76	0.000443575088866055	0.29	0.06619071215391159	False
GEM	1.111	0.5366503702695361	0.6887013085125713			1.27	0.0009273539762943983	1.19	4.488350953124609e-07	False
CD55	1.01	0.5734601043352614	0.7203047102549548			2.56	1.9720567934200517e-07	2.36	4.15644976214935e-08	False
SCAMP4	0.967	0.5881882080338645	0.7203047102549548			0.35	0.11634325981140137			False
CSF1	1.082	0.5893402174813267	0.7203047102549548			-0.11	0.6076006293296814	0.36	0.0008811565348878503	False
EGF	0.963	0.62267445978564	0.749155209429598			0.64	0.061768412590026855	-0.1	0.543304443359375	False
C3	0.922	0.6371422840760745	0.7547685519055037			1.67	0.0007089186692610383	2.05	3.3908188925124705e-05	False
SPP1	0.99	0.7205946022493095	0.832149608097864			2.98	2.4676917291799327e-06	2.27	9.089282571039803e-07	False
PTGES	0.984	0.7317818915703865	0.832149608097864			1.23	3.6218039895175025e-05	0.78	2.2141139197628945e-06	False
IGFBP6	0.954	0.7399268577229966	0.832149608097864			0.37	0.03269148990511894	0.1	0.06036655232310295	False
CCL4	1.012	0.7456925059578261	0.832149608097864			2.78	2.3132338355935644e-07	1.18	1.96858418348711e-05	False
MMP1	1.029	0.8146938652942451	0.8961632518236697			5.25	2.3137299365316721e-07	4.03	3.889186075411999e-07	False
EREG	0.985	0.8621710992313628	0.9350306287438724			0.83	0.05972421541810036	0.65	0.003866291604936123	False
IQGAP2	0.997	0.8782202073636857	0.9392077217639416			-0.81	8.257061563199386e-05	-1.18	6.102305150079701e-08	False
NAP1L4	1.006	0.9156138786620528	0.9657845021503844			-0.12	0.6932646036148071	0.29	5.124358358443715e-05	False
CCL5	1.007	0.9413130495287786	0.9746913370145004			-0.42	0.10958956182003021	-0.05	0.570818305015564	False
SELPLG	1.004	0.9493746789102278	0.9746913370145004			2.08	3.078503141296096e-05	1.07	6.100109021645039e-05	False
SERPINE2	1.0	0.9872343916954324	0.9874354081459024			0.65	0.008244063705205917	1.2	2.7074220270151272e-06	False
IGFBP7	1.001	0.9874354081459024	0.9874354081459024			1.69	1.1687688129313756e-05	1.18	1.4462498256762046e-05	False
